target,attempt,generation,best_objective_so_far,scipy_convergence
0.55,3,11,0.07896929411673048,4.5665880794178384e-08
0.55,3,12,0.07896929411673048,4.81759056169759e-08
0.55,3,13,0.07896929411673048,9.689545253236769e-08
0.55,3,14,0.07840852542336593,1.986151504299619e-07
0.55,3,15,0.07840852542336593,2.17594477649599e-07
0.55,3,16,0.07840852542336593,2.2236901214503238e-07
0.55,3,17,0.07840852542336593,2.4243030302893223e-07
0.55,3,18,0.07840852542336593,4.871280149327284e-07
0.55,3,19,0.07840852542336593,5.052455181469868e-07
0.55,3,20,0.07840852542336593,5.22852319454909e-07
0.55,3,21,0.07840852542336593,8.422192958846699e-07
0.55,3,22,0.07840852542336593,1.0773577889067384e-06
0.55,3,23,0.07840852542336593,1.1001275841395588e-06
0.55,3,24,0.07840852542336593,1.1448579384686334e-06
0.55,3,25,0.07840852542336593,1.3036924751533496e-06
0.55,3,26,0.07840852542336593,1.3057603848977149e-06
0.55,3,27,0.07832812195397158,1.658112962886608e-06
0.55,3,28,0.07832812195397158,1.652470634966094e-06
0.55,3,29,0.07832812195397158,1.7181138999268476e-06
0.55,3,30,0.07832812195397158,2.033232073857132e-06
0.55,3,31,0.07832812195397158,2.2624332237282587e-06
0.55,3,32,0.07832812195397158,2.286006465754615e-06
0.55,3,33,0.0782881595338118,2.477275821747455e-06
0.55,3,34,0.0782881595338118,2.7641437702224623e-06
0.55,3,35,0.0782881595338118,2.8909606100383587e-06
0.55,3,36,0.0782881595338118,2.9183749714976215e-06
0.55,3,37,0.0782881595338118,2.931628677755035e-06
0.55,3,38,0.0782881595338118,2.9423406314204344e-06
0.55,3,39,0.0782881595338118,3.0095528880065024e-06
0.55,3,40,0.07818450094765544,3.4015833231569666e-06
0.55,3,41,0.07818450094765544,3.992162366045589e-06
0.55,3,42,0.07818450094765544,4.237829719847495e-06
0.55,3,43,0.07817926934988989,4.50271529503107e-06
0.55,3,44,0.07817926934988989,4.755892615317523e-06
0.55,3,45,0.0781541639677332,5.104563387635344e-06
0.55,3,46,0.0781541639677332,5.279150062473292e-06
0.55,3,47,0.0781541639677332,5.351522004306438e-06
0.55,3,48,0.0781541639677332,5.34761264586703e-06
0.55,3,49,0.0781541639677332,5.332785768059866e-06
0.55,3,50,0.0781541639677332,8.675688565070658e-06
0.55,3,51,0.07808241763769425,9.303270868775933e-06
0.55,3,52,0.07808241763769425,9.963825758329764e-06
0.55,3,53,0.07805104091971914,9.949238255793937e-06
0.55,3,54,0.07805104091971914,1.1145341842736735e-05
0.55,3,55,0.07805104091971914,1.116240217798323e-05
0.55,3,56,0.07805104091971914,1.0931808302574229e-05
0.55,3,57,0.07805104091971914,1.352714427711759e-05
0.55,3,58,0.07805104091971914,1.6421117472318617e-05
