method,method_type,target,y_target,attempt,objective_value,optimization_time_s,n_function_evaluations,success,message,y_gp_pred,y_gp_std,max_xr_gp_pred,max_xr_gp_std,predicted_constraint_violation_gp,y_sim,error_gp,error_sim,error_gp_vs_sim,max_xr_sim,max_xb_sim,extra_reach,constraint_violation,feasible,Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,Mr
baseline,baseline_peak_y_only,0.64,0.64,1,1.74744768249566e-05,7.044667959213257,13089,False,Maximum number of iterations has been exceeded.,0.6399973878566406,0.010793352893228211,0.5078906089596101,0.0036757927776924974,0.01289060895961014,0.6359416416318101,2.61214335939286e-06,0.004058358368189907,0.004055746224830514,0.5059657556428262,0.2234789167057829,0.1359416416318101,0.005965755642826198,False,1000.0,3213.6301325249315,20.0,0.1,0.3131702127711057,0.307017648775398,1.790917679269922,0.10971424079392814,0.38221254029382706,10.0
baseline,baseline_peak_y_only,0.64,0.64,2,1.7474375707176473e-05,8.364872217178345,13089,False,Maximum number of iterations has been exceeded.,0.6399974186404682,0.010793321714146343,0.5075984660386607,0.0036727708950353324,0.01259846603866066,0.635791799737877,2.5813595317947247e-06,0.004208200262122985,0.0042056189025911905,0.5055423788733052,0.22252550602713647,0.13579179973787703,0.00554237887330522,False,1000.0,3224.4885806719194,20.0,0.1,0.3144914328206315,0.3084801456673375,1.7764533071132342,0.10963348293557511,0.3822440176447704,10.0
baseline,baseline_peak_y_only,0.64,0.64,3,1.7474791471103208e-05,8.383588075637817,13075,False,Maximum number of iterations has been exceeded.,0.6399983591770249,0.010793451341377687,0.5083069902873523,0.003674324667365688,0.013306990287352272,0.6359942849652622,1.640822975157441e-06,0.004005715034737789,0.0040040742117626316,0.5062066770208257,0.2227029112157497,0.13599428496526222,0.006206677020825668,False,1000.0,3233.3672924645216,20.0,0.1,0.3154125213114539,0.31119035190480193,1.789044001844963,0.10940269099239754,0.38312674067740765,10.0
baseline,baseline_peak_y_only,0.64,0.64,4,1.7474498132820277e-05,8.331384181976318,13089,False,Maximum number of iterations has been exceeded.,0.6399974480281587,0.010793359569741635,0.5078653910252449,0.003673806959972029,0.012865391025244866,0.6359092422972128,2.5519718412914116e-06,0.004090757702787218,0.004088205730945926,0.5057716264870487,0.22308101619106027,0.1359092422972128,0.005771626487048653,False,1000.0,3233.430563249232,20.0,0.1,0.3147916609443379,0.3126470646954499,1.7864293214899298,0.10961319257101061,0.3824563907067539,10.0
baseline,baseline_peak_y_only,0.64,0.64,5,1.747465695973019e-05,7.794853210449219,13089,False,Maximum number of iterations has been exceeded.,0.6399972753485059,0.010793408339044847,0.507463365620611,0.003671633366441708,0.012463365620611011,0.6358055400790995,2.724651494090402e-06,0.004194459920900506,0.004191735269406416,0.5054623371716616,0.2234960670385668,0.1358055400790995,0.005462337171661558,False,1000.0,3261.9987654234224,20.0,0.1,0.3140501351114549,0.30541813293034364,1.7827188119991473,0.10996640185121224,0.3817798450811971,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.64,0.64,1,1.8263445570432687e-05,16.189393043518066,13089,False,Maximum number of iterations has been exceeded.,0.6399950556430147,0.01082911663350783,0.4949751797158065,0.003668667508644793,0.0,0.6348901083555736,4.944356985281395e-06,0.005109891644426434,0.005104947287441153,0.4945051654625248,0.23188325056993317,0.13489010835557358,0.0,True,1000.0,3150.5943108040765,20.0,0.1,0.3025545072646895,0.3469871875570676,1.5276486225342687,0.11251630953392867,0.36758502313885894,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.64,0.64,2,1.826257998809231e-05,20.402820825576782,13131,False,Maximum number of iterations has been exceeded.,0.6399882059280526,0.010829089921615047,0.49499882111636406,0.0036662313303869,0.0,0.6349504921070691,1.1794071947401896e-05,0.0050495078929309045,0.005037713820983503,0.4945468620518092,0.23234777481584276,0.1349504921070691,0.0,True,1000.0,3147.3323788402754,20.0,0.1,0.30513756584690394,0.3411725686791286,1.5228301204438355,0.1126435001560747,0.367557744652364,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.64,0.64,3,1.8263296514178236e-05,19.508153200149536,13082,False,Maximum number of iterations has been exceeded.,0.6399891661921738,0.010829215296720582,0.4949696538021631,0.0036671338982294183,0.0,0.634941125493192,1.0833807826182706e-05,0.0050588745068079755,0.005048040698981793,0.49453735140588717,0.23226107419138053,0.13494112549319204,0.0,True,1000.0,3126.9902411676453,20.0,0.1,0.30426687074985215,0.3408562168368055,1.5225872658984203,0.11257984550706719,0.36750939724328746,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.64,0.64,4,1.8263246033418903e-05,16.44522452354431,13089,False,Maximum number of iterations has been exceeded.,0.6399942342420728,0.010829140088352618,0.4949810782209526,0.0036678918508581096,0.0,0.6349738772266826,5.765757927211901e-06,0.005026122773317376,0.0050203570153901644,0.4945543192945216,0.23189876449684102,0.13497387722668264,0.0,True,1000.0,3112.690223988775,20.0,0.1,0.3047355643713464,0.3396977539158266,1.5288524672751171,0.11267515376035915,0.3673549077181772,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.64,0.64,5,1.826463394277474e-05,16.53143882751465,13110,False,Maximum number of iterations has been exceeded.,0.6399799241939667,0.010829391092967261,0.4949876410287495,0.0036684443245633526,0.0,0.6349741153659625,2.0075806033359456e-05,0.005025884634037525,0.005005808828004166,0.4945451910736404,0.2326589114784099,0.1349741153659625,0.0,True,1000.0,3144.936955566098,20.0,0.1,0.30441423733958844,0.3249399104662066,1.5263647030855385,0.11293045234136524,0.36724260490364674,10.0
