case,time,dxb,dxr,xb,xr,y,dxb_measured,dxr_measured,xb_measured,xr_measured,y_measured,u,tracking_error_m,tracking_error_mm,measurement_noise_dxb,measurement_noise_dxr,measurement_noise_xb,measurement_noise_xr,disturbance_applied,n_failures_so_far
disturbance_plus_noise,2.46,-0.008648880898280779,0.022773557323419926,-0.004802769215851144,0.5965704837692007,0.5917677145533496,-0.008247015383306711,0.019784589705826826,-0.003960796489275387,0.5968300386183862,0.5928692421291109,0.6003954691615667,-0.0010112854466503007,-1.0112854466503007,0.0004018655149740676,-0.002988967617593101,0.0008419727265757581,0.00025955484918545714,1,0
disturbance_plus_noise,2.48,-0.0022433849469805285,0.007761931585672018,-0.004970190799928468,0.5968408247290914,0.591870633929163,-0.002063885041575441,0.005564929375621383,-0.0036974857723724728,0.5957680310434862,0.5920705452711137,0.5961160804665082,-0.0009083660708369967,-0.9083660708369967,0.00017949990540508737,-0.002197002210050636,0.0012727050275559953,-0.0010727936856052213,1,0
disturbance_plus_noise,2.5,0.0013159446350807398,0.01192389917003178,-0.004955497655335484,0.5969881570219642,0.5920326593666286,0.0009710346583907143,0.011431068052160685,-0.003477771222172688,0.5990650313526017,0.595587260130429,0.5983531560232795,-0.0007463406333713118,-0.7463406333713118,-0.0003449099766900256,-0.0004928311178710948,0.0014777264331627964,0.0020768743306375003,1,0
disturbance_plus_noise,2.52,0.018614007983942513,-0.07028338969691142,-0.004743778466055128,0.5962991960746652,0.5915554176086101,0.0187847206254033,-0.07081640450561906,-0.006189803894691819,0.5953025788832128,0.589112774988521,0.5860445779194212,-0.0012235823913898658,-1.2235823913898658,0.00017071264146078597,-0.0005330148087076365,-0.0014460254286366905,-0.000996617191452439,1,0
disturbance_plus_noise,2.54,0.00654145779597614,0.019929889060793602,-0.004528046689478705,0.5958614367350465,0.5913333900455678,0.004778575978971463,0.021443781226008356,-0.0047242743629614765,0.5970460477785882,0.5923217734156266,0.6060445779199771,-0.0014456099544321033,-1.4456099544321033,-0.0017628818170046766,0.001513892165214756,-0.00019622767348277139,0.0011846110435416023,1,0
disturbance_plus_noise,2.56,0.008433726827247549,0.019297423379428805,-0.0043826270068100266,0.5961967390008645,0.5918141119940544,0.006836301308837328,0.01971988804361166,-0.003648063462160285,0.5959254871684773,0.592277423706317,0.5972432856476075,-0.0009648880059455189,-0.9648880059455189,-0.0015974255184102212,0.0004224646641828557,0.0007345635446497418,-0.0002712518323872148,1,0
disturbance_plus_noise,2.58,0.013849293908013966,0.0008170642672375155,-0.0041749657014856865,0.5964896639311746,0.592314698229689,0.015538848194918839,0.004147627399462454,-0.004409712645803922,0.5970309299920891,0.5926212173462851,0.5949175964237559,-0.00046430177031098196,-0.46430177031098196,0.0016895542869048718,0.0033305631322249384,-0.00023474694431823586,0.0005412660609143776,1,0
disturbance_plus_noise,2.6,0.018613630631818305,-0.015162733788743669,-0.0038272239816562136,0.5964122840682581,0.5925850600866018,0.019270650169065148,-0.015600016007169829,-0.004631714667490782,0.5959809475011754,0.5913492328336846,0.5943635307294323,-0.00019393991339811123,-0.19393991339811123,0.0006570195372468433,-0.00043728221842616,-0.0008044906858345681,-0.00043133656708266765,1,0
disturbance_plus_noise,2.62,0.015910938972194866,0.013857380677724077,-0.0034787109918863737,0.596463958780785,0.5929852477888986,0.018603669305451546,0.012009340627477718,-0.003626406452101008,0.5953695839829426,0.5917431775308416,0.6001249960590829,0.00020624778889866136,0.20624778889866136,0.0026927303332566796,-0.0018480400502463592,-0.00014769546021463432,-0.0010943747978423457,1,0
disturbance_plus_noise,2.64,0.01902725117269669,0.004772542587319524,-0.003115612220001147,0.5965891041657319,0.5934734919457307,0.018325753613322508,0.0016441447297504963,-0.0024458180417093554,0.5961609865686393,0.5937151685269298,0.5961117047198673,0.0006944919457307908,0.6944919457307908,-0.0007014975593741813,-0.0031283978575690277,0.0006697941782917913,-0.0004281175970925545,1,0
