time,dxb,dxr,xb,xr,y,u,tracking_error_m,tracking_error_mm
1.6600000000000001,-0.010843997694442109,0.010648863661018915,0.0037567146456085653,0.5890233537928009,0.5927800684384095,0.5896934319373344,1.0684384095238642e-06,0.0010684384095238642
1.68,-0.01314197647133808,0.01292764544403635,0.0035155347292197435,0.5892644624221807,0.5927799971514004,0.5900559657775873,9.971514004503135e-07,0.0009971514004503135
1.7,-0.015121829195691494,0.014892587592201245,0.003231480368397679,0.5895484334770282,0.5927799138454259,0.5904430397080028,9.138454259982609e-07,0.0009138454259982609
1.72,-0.01676840390232337,0.016528558981619312,0.0029110924127879623,0.5898687279985823,0.5927798204113702,0.5908474123274313,8.20411370283658e-07,0.000820411370283658
1.74,-0.018072488710313306,0.017826300436120324,0.00256115510791505,0.590218563696714,0.5927797188046291,0.5912619299695935,7.18804629151748e-07,0.000718804629151748
1.76,-0.019030662293663125,0.018782279296364113,0.0021885783868468575,0.590591032624615,0.5927796110114618,0.5916796338308024,6.11011461870703e-07,0.000611011461870703
1.78,-0.0196450615104794,0.01939846194289485,0.0018002840107326275,0.5909792150057899,0.5927794990165225,0.5920938587765632,4.990165225482457e-07,0.0004990165225482457
1.8,-0.019923073898077015,0.01968201186520835,0.0014030971422929013,0.5913762876297243,0.5927793847720172,0.5924983226981153,3.847720172478475e-07,0.0003847720172478475
1.82,-0.019876963531735625,0.01964492165412768,0.0010036447735430826,0.591775625395346,0.5927792701688891,0.592887205492931,2.701688891493248e-07,0.0002701688891493248
1.84,-0.019523439363819506,0.01930358791099618,0.0006082622521226518,0.592170894758257,0.5927791570103796,0.5932552169505443,1.5701037969773068e-07,0.00015701037969773068
1.86,-0.018883175606387748,0.018678338512953196,0.00022290896303267874,0.5925561380252274,0.5927790469882601,0.5935976530333724,4.698826017168756e-08,4.698826017168756e-05
1.8800000000000001,-0.017980293995787044,0.0177929219500923,-0.0001469059721967399,0.5929258476341693,0.5927789416619726,0.5939104402482067,-5.833802729782178e-08,-5.833802729782178e-05
1.9000000000000001,-0.01684181788624861,0.01667396856204162,-0.0004961873154896313,0.5932750297563517,0.5927788424408621,0.5941901680045674,-1.5755913784776254e-07,-0.00015755913784776254
1.92,-0.0154971080676517,0.015350433454235368,-0.0008205061870785431,0.5935992567567018,0.5927787505696233,0.5944341090484756,-2.4943037668645474e-07,-0.00024943037668645474
