run_label,target,candidate_rank,source_start_id,source_start_type,objective_value,tracking_cost,constraint_cost,peak_y_pred,max_abs_xr_pred,predicted_safety_violation_mm,peak_y_true,max_abs_xr_true,target_error_m,target_error_mm,reachability_gap_mm,constraint_violation_abs_m,constraint_violation_abs_mm,feasible_abs,nn_peak_y_error_vs_true_m,nn_peak_y_error_vs_true_mm,nn_peak_y_error_signed_mm,nn_max_abs_xr_error_vs_true_mm,nn_max_abs_xr_error_signed_mm,max_xr,min_xr,max_xb,min_xb,max_abs_xb,extra_reach,u_min,u_max,n_params_near_lower_bound,n_params_near_upper_bound,n_params_near_any_bound,Kr,u_Kr,hr,u_hr,f0,u_f0,f1,u_f1,A,u_A,x_r_start,u_x_r_start
main,0.7,20,74,random,9.229399681091309,9.207046508789062,0.022352736443281174,0.6696568727493286,0.49004486203193665,0.044852495193481445,0.6582176454414815,0.4925174359941521,0.04178235455851842,41.78235455851842,41.78235455851842,0.0,0.0,True,0.011439227307847077,11.439227307847077,11.439227307847077,2.472573962215452,-2.472573962215452,0.4925174359941521,0.209283456915806,0.25168973325129074,-0.25189413351928364,0.25189413351928364,0.15821764544148154,0.016876736655831337,0.9921520352363586,2,2,4,2385.868896484375,0.25310540199279785,0.2870621085166931,0.5344631671905518,0.44725319743156433,0.9921520352363586,1.0506302118301392,0.016876736655831337,0.11948326975107193,0.9827757477760315,0.35091733932495117,0.018347064033150673
main,0.7,21,91,random,9.250858306884766,9.214137077331543,0.036721646785736084,0.6696451902389526,0.49005749821662903,0.05748867988586426,0.6599285948764007,0.492406938608714,0.0400714051235993,40.071405123599305,40.071405123599305,0.0,0.0,True,0.009716595362551983,9.716595362551983,9.716595362551983,2.349440392084956,-2.349440392084956,0.492406938608714,0.20876985188742686,0.2556329118611315,-0.25532454764418605,0.2556329118611315,0.15992859487640065,0.01185466255992651,0.9980019927024841,1,1,2,2439.339111328125,0.26838260889053345,0.19646970927715302,0.2756277322769165,0.4493006765842438,0.9980019927024841,1.0631511211395264,0.02105036750435829,0.11732998490333557,0.9109996557235718,0.3505927324295044,0.01185466255992651
main,0.7,22,0,random,9.273123741149902,9.233253479003906,0.039870329201221466,0.6696137189865112,0.49005991220474243,0.05990266799926758,0.6609996890963652,0.49255634626042316,0.03900031090363476,39.00031090363476,39.00031090363476,0.0,0.0,True,0.008614029890146035,8.614029890146035,8.614029890146035,2.4964340556807296,-2.4964340556807296,0.49255634626042316,0.2089344885823823,0.25477218294405984,-0.255143209312025,0.255143209312025,0.1609996890963652,0.01150834932923317,0.9975269436836243,2,1,3,2403.572265625,0.2581635117530823,0.19336263835430145,0.26675039529800415,0.4491344094276428,0.9975269436836243,1.0345250368118286,0.01150834932923317,0.11684804409742355,0.894934892654419,0.3507228493690491,0.014457088895142078
main,0.7,23,55,random,9.342084884643555,9.322687149047852,0.019397856667637825,0.6694669127464294,0.4900417923927307,0.04178285598754883,0.6584861660150101,0.49273258736275044,0.04151383398498987,41.513833984989866,41.513833984989866,0.0,0.0,True,0.010980746731419355,10.980746731419355,10.980746731419355,2.6907949700197276,-2.6907949700197276,0.49273258736275044,0.20953274995692583,0.25106529236318387,-0.25126912019302416,0.25126912019302416,0.1584861660150101,0.006331075448542833,0.9929071664810181,1,1,2,2354.13671875,0.24403904378414154,0.28729453682899475,0.5351272821426392,0.4475174844264984,0.9929071664810181,1.0189932584762573,0.006331075448542833,0.11914713680744171,0.9715713262557983,0.35111159086227417,0.022231947630643845
main,0.7,24,6,random,9.366326332092285,9.334847450256348,0.03147897496819496,0.6694470047950745,0.4900532364845276,0.05322694778442383,0.657634765044441,0.4924480538814543,0.042365234955558995,42.365234955558996,42.365234955558996,0.0,0.0,True,0.011812239750633502,11.812239750633502,11.812239750633502,2.3948173969267073,-2.3948173969267073,0.4924480538814543,0.2094670048311245,0.25201249806697007,-0.25159248549639424,0.25201249806697007,0.15763476504444096,0.01862979307770729,0.9899993538856506,1,2,3,2398.74365234375,0.25678393244743347,0.2852247953414917,0.5292137265205383,0.446499764919281,0.9899993538856506,1.0652096271514893,0.021736523136496544,0.11945950984954834,0.9819838404655457,0.3509314954280853,0.01862979307770729
main,0.7,25,22,random,9.381949424743652,9.35379695892334,0.028152501210570335,0.6694160103797913,0.490050345659256,0.05033612251281738,0.6580681358117151,0.4925691927258958,0.04193186418828487,41.93186418828488,41.93186418828488,0.0,0.0,True,0.011347874568076177,11.347874568076177,11.347874568076177,2.5188470666397955,-2.5188470666397955,0.4925691927258958,0.20938584652436298,0.2516111040148756,-0.25128022816543905,0.2516111040148756,0.15806813581171508,0.013864092528820038,0.98624587059021,2,1,3,2368.991455078125,0.2482832819223404,0.2860732674598694,0.5316379070281982,0.445186048746109,0.98624587059021,1.0415922403335571,0.013864092528820038,0.11928414553403854,0.9761382341384888,0.3509542644023895,0.019085247069597244
main,0.7,26,2,random,9.398115158081055,9.363789558410645,0.034325383603572845,0.6693996787071228,0.4900555908679962,0.05558133125305176,0.6580612717856064,0.4925978269031345,0.041938728214393595,41.93872821439359,41.93872821439359,0.0,0.0,True,0.011338406921516442,11.338406921516441,11.338406921516441,2.5422360351382567,-2.5422360351382567,0.4925978269031345,0.20957136362643833,0.2515586720663743,-0.25130527615388804,0.2515586720663743,0.15806127178560636,0.013771627098321915,0.9912089109420776,1,1,2,2374.996826171875,0.24999910593032837,0.28619641065597534,0.5319897532463074,0.4469231069087982,0.9912089109420776,1.0413148403167725,0.013771627098321915,0.1192636713385582,0.9754558205604553,0.35106027126312256,0.021205591037869453
main,0.7,27,19,random,9.401168823242188,9.374626159667969,0.026542719453573227,0.6693819761276245,0.490048885345459,0.04887580871582031,0.6570642250628478,0.4922614293925384,0.04293577493715217,42.935774937152175,42.935774937152175,0.0,0.0,True,0.012317751064776727,12.317751064776727,12.317751064776727,2.2125440470794344,-2.2125440470794344,0.4922614293925384,0.2093777974661555,0.2518085009296471,-0.25218018055827524,0.25218018055827524,0.15706422506284778,0.015985457226634026,0.9979738593101501,1,2,3,2411.287841796875,0.2603679597377777,0.2831419110298157,0.523262619972229,0.44929084181785583,0.9979738593101501,1.093979835510254,0.03132662922143936,0.11950773745775223,0.9835913777351379,0.3507992625236511,0.015985457226634026
main,0.7,28,88,random,9.423093795776367,9.385798454284668,0.037294965237379074,0.6693637371063232,0.49005794525146484,0.05793571472167969,0.6607501923477312,0.49256634861265675,0.03924980765226871,39.24980765226871,39.24980765226871,0.0,0.0,True,0.008613544758591996,8.613544758591996,8.613544758591996,2.508403361191902,-2.508403361191902,0.49256634861265675,0.2092197067559402,0.25468424129103323,-0.2546243672472887,0.25468424129103323,0.16075019234773125,0.007629595696926117,0.9969056248664856,2,1,3,2394.18310546875,0.25548088550567627,0.1919909119606018,0.2628311812877655,0.4489169716835022,0.9969056248664856,1.0228887796401978,0.007629595696926117,0.11658196151256561,0.8860654830932617,0.3509196639060974,0.018393242731690407
main,0.7,29,9,random,9.497356414794922,9.471232414245605,0.026123587042093277,0.6692246198654175,0.49004849791526794,0.04848837852478027,0.6581317853699198,0.4927123416696134,0.04186821463008017,41.86821463008017,41.86821463008017,0.0,0.0,True,0.011092834495497694,11.092834495497694,11.092834495497694,2.663843754345474,-2.663843754345474,0.4927123416696134,0.2101102439986701,0.2505487819208393,-0.2507639178542347,0.2507639178542347,0.1581317853699198,0.010596678592264652,0.9950549602508545,1,1,2,2365.1767578125,0.24719339609146118,0.2937406301498413,0.5535447001457214,0.44826921820640564,0.9950549602508545,1.031790018081665,0.010596678592264652,0.11922755092382431,0.9742518067359924,0.35142087936401367,0.02841787040233612
