method,target,parameter,parameter_group,variation_mode,perturbation_fraction,perturbation_percent,nominal_value,tested_value,clipped_to_bound,peak_y,delta_peak_y_m,delta_peak_y_mm,target_error_mm,max_abs_xr,delta_max_abs_xr_m,delta_max_abs_xr_mm,residual_margin_mm,constraint_violation_mm,feasible_abs,extra_reach,max_abs_xb,nominal_peak_y,nominal_max_abs_xr,nominal_residual_margin_mm,Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,Mr
NN+Adam safe,0.65,A,controllable,percent_of_allowed_range,0.1,10.0,0.1116335690021514,0.11463356900215141,False,0.6575919735464106,0.007868869251230093,7.868869251230093,7.591973546410613,0.4938119428198132,0.003582689370922598,3.582689370922598,6.188057180186779,0.0,True,0.15759197354641064,0.25347753701843945,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.11463356900215141,0.3569131195545196,10.0
NN+Adam safe,0.65,x_r_start,controllable,percent_of_allowed_range,-0.1,-10.0,0.3569131195545196,0.3519131195545196,False,0.6447231043071031,-0.00499999998807743,-4.99999998807743,5.27689569289691,0.48522925344925977,-0.004999999999630855,-4.999999999630855,14.770746550740233,0.0,True,0.1447231043071031,0.24684394251318434,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3519131195545196,10.0
NN+Adam safe,0.65,x_r_start,controllable,percent_of_allowed_range,-0.05,-5.0,0.3569131195545196,0.3544131195545196,False,0.6472231043010938,-0.002499999994086788,-2.499999994086788,2.7768956989062676,0.48772925344907364,-0.002499999999816982,-2.499999999816982,12.27074655092636,0.0,True,0.14722310430109375,0.24684394250705666,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3544131195545196,10.0
NN+Adam safe,0.65,x_r_start,controllable,percent_of_allowed_range,0.0,0.0,0.3569131195545196,0.3569131195545196,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,x_r_start,controllable,percent_of_allowed_range,0.05,5.0,0.3569131195545196,0.3594131195545196,False,0.652223104289366,0.0024999999941854867,2.4999999941854867,2.223104289366007,0.4927292534487147,0.0024999999998240874,2.4999999998240874,7.27074655128529,0.0,True,0.15222310428936603,0.24684394249508548,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3594131195545196,10.0
NN+Adam safe,0.65,x_r_start,controllable,percent_of_allowed_range,0.1,10.0,0.3569131195545196,0.3619131195545196,False,0.6547231042836454,0.004999999988464898,4.999999988464898,4.7231042836454185,0.49522925344854646,0.004999999999655835,4.999999999655835,4.770746551453541,0.0,True,0.15472310428364544,0.24684394248923744,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3619131195545196,10.0
NN+Adam safe,0.65,Kb,physical_model,relative_percent_of_nominal,-0.1,-10.0,1000.0,900.0,False,0.643023143085403,-0.006699961209777561,-6.699961209777561,6.9768569145970405,0.48773733441038397,-0.0024919190385066514,-2.4919190385066514,12.262665589616029,0.0,True,0.14302314308540298,0.24494409004734,0.6497231042951805,0.4902292534488906,9.770746551109378,900.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Kb,physical_model,relative_percent_of_nominal,-0.05,-5.0,1000.0,950.0,False,0.6465797875540797,-0.003143316741100799,-3.143316741100799,3.4202124459202787,0.48901614709814295,-0.0012131063507476725,-1.2131063507476725,10.98385290185705,0.0,True,0.14657978755407974,0.24599757583643403,0.6497231042951805,0.4902292534488906,9.770746551109378,950.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Kb,physical_model,relative_percent_of_nominal,0.0,0.0,1000.0,1000.0,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Kb,physical_model,relative_percent_of_nominal,0.05,5.0,1000.0,1050.0,False,0.6524692111097066,0.002746106814526028,2.746106814526028,2.4692111097065483,0.49155324892805463,0.0013239954791640085,1.3239954791640085,8.446751071945368,0.0,True,0.15246921110970657,0.24792040381772096,0.6497231042951805,0.4902292534488906,9.770746551109378,1050.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Kb,physical_model,relative_percent_of_nominal,0.1,10.0,1000.0,1100.0,False,0.655822221417476,0.006099117122295494,6.099117122295494,5.8222214174760145,0.4928359155467105,0.0026066620978199007,2.6066620978199007,7.164084453289476,0.0,True,0.15582222141747604,0.2487283631384486,0.6497231042951805,0.4902292534488906,9.770746551109378,1100.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Mb,physical_model,relative_percent_of_nominal,-0.1,-10.0,20.0,18.0,False,0.6729925657075179,0.023269461412337322,23.26946141233732,22.99256570751784,0.49301425155975,0.0027849981108593602,2.78499811085936,6.985748440250017,0.0,True,0.17299256570751786,0.26927508417589624,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,18.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Mb,physical_model,relative_percent_of_nominal,-0.05,-5.0,20.0,19.0,False,0.6609871559531482,0.011264051657967622,11.264051657967622,10.987155953148143,0.49154215052653843,0.0013128970776478122,1.3128970776478122,8.457849473461565,0.0,True,0.16098715595314816,0.257700448289207,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,19.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Mb,physical_model,relative_percent_of_nominal,0.0,0.0,20.0,20.0,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Mb,physical_model,relative_percent_of_nominal,0.05,5.0,20.0,21.0,False,0.6393162075537119,-0.010406896741468663,-10.406896741468664,10.683792446288143,0.4890608262786687,-0.0011684271702219196,-1.1684271702219196,10.939173721331297,0.0,True,0.13931620755371188,0.23704983819117373,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,21.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Mb,physical_model,relative_percent_of_nominal,0.1,10.0,20.0,22.0,False,0.6298141379625357,-0.01990896633264483,-19.90896633264483,20.185862037464307,0.48801760855673454,-0.002211644892156084,-2.211644892156084,11.982391443265461,0.0,True,0.12981413796253571,0.22790323500445922,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,22.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hb,physical_model,relative_percent_of_nominal,-0.1,-10.0,0.1,0.09000000000000001,False,0.6700491473254595,0.020326043030278962,20.32604303027896,20.049147325459483,0.4914000050362797,0.0011707515873890517,1.1707515873890517,8.599994963720325,0.0,True,0.1700491473254595,0.2711806150805016,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.09000000000000001,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hb,physical_model,relative_percent_of_nominal,-0.05,-5.0,0.1,0.095,False,0.6595358780620891,0.009812773766908589,9.812773766908588,9.53587806208911,0.49079599366039217,0.0005667402115015485,0.5667402115015485,9.20400633960783,0.0,True,0.15953587806208913,0.2584594442306444,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.095,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hb,physical_model,relative_percent_of_nominal,0.0,0.0,0.1,0.1,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hb,physical_model,relative_percent_of_nominal,0.05,5.0,0.1,0.10500000000000001,False,0.640562853689744,-0.00916025060543657,-9.16025060543657,9.43714631025605,0.48973000505726166,-0.0004992483916289592,-0.4992483916289592,10.269994942738336,0.0,True,0.14056285368974397,0.236244644793693,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.10500000000000001,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,hb,physical_model,relative_percent_of_nominal,0.1,10.0,0.1,0.11000000000000001,False,0.6323755503407155,-0.017347553954465078,-17.347553954465077,17.624449659284558,0.4892777621125552,-0.0009514913363354305,-0.9514913363354305,10.722237887444807,0.0,True,0.13237555034071546,0.22645272966172222,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.11000000000000001,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Mr,physical_model,relative_percent_of_nominal,-0.1,-10.0,10.0,9.0,False,0.6301550254839579,-0.01956807881122269,-19.56807881122269,19.844974516042168,0.48798191100567834,-0.0022473424432122857,-2.2473424432122857,12.018088994321662,0.0,True,0.13015502548395785,0.22624585374777428,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,9.0
NN+Adam safe,0.65,Mr,physical_model,relative_percent_of_nominal,-0.05,-5.0,10.0,9.5,False,0.6397253079059646,-0.00999779638921594,-9.99779638921594,10.27469209403542,0.4891311864952883,-0.0010980669536023169,-1.0980669536023169,10.868813504711694,0.0,True,0.1397253079059646,0.23677941264788158,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,9.5
NN+Adam safe,0.65,Mr,physical_model,relative_percent_of_nominal,0.0,0.0,10.0,10.0,False,0.6497231042951805,0.0,0.0,0.2768957048194798,0.4902292534488906,0.0,0.0,9.770746551109378,0.0,True,0.14972310429518054,0.24684394250102407,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0
NN+Adam safe,0.65,Mr,physical_model,relative_percent_of_nominal,0.05,5.0,10.0,10.5,False,0.659252195912441,0.009529091617260455,9.529091617260455,9.252195912440975,0.49141715967810007,0.0011879062292094456,1.1879062292094456,8.582840321899932,0.0,True,0.159252195912441,0.25695262759776366,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.5
NN+Adam safe,0.65,Mr,physical_model,relative_percent_of_nominal,0.1,10.0,10.0,11.0,False,0.6689662960595839,0.019243191764403367,19.243191764403367,18.966296059583886,0.49250154252016043,0.0022722890712698063,2.2722890712698063,7.498457479839571,0.0,True,0.1689662960595839,0.2666222754655988,0.6497231042951805,0.4902292534488906,9.770746551109378,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,11.0
NN+Adam safe,0.75,Kr,controllable,percent_of_allowed_range,-0.1,-10.0,2534.451171875,2184.451171875,False,0.6829050077906186,0.008593219920588147,8.593219920588147,67.09499220938142,0.5019332860079496,0.004887547664544911,4.887547664544911,-1.9332860079496195,1.9332860079496195,False,0.18290500779061858,0.27113606380965266,0.6743117878700304,0.4970457383434047,2.9542616565952917,1000.0,2184.451171875,20.0,0.1,0.10133808106184,0.4493398070335388,1.0038635730743408,0.1195716634392738,0.3504621684551239,10.0
NN+Adam safe,0.75,Kr,controllable,percent_of_allowed_range,-0.05,-5.0,2534.451171875,2359.451171875,False,0.6783084303101687,0.003996642440138309,3.9966424401383094,71.69156968983125,0.4992901974480185,0.002244459104613794,2.244459104613794,0.7098025519814977,0.0,True,0.17830843031016874,0.2696150113443217,0.6743117878700304,0.4970457383434047,2.9542616565952917,1000.0,2359.451171875,20.0,0.1,0.10133808106184,0.4493398070335388,1.0038635730743408,0.1195716634392738,0.3504621684551239,10.0
NN+Adam safe,0.75,Kr,controllable,percent_of_allowed_range,0.0,0.0,2534.451171875,2534.451171875,False,0.6743117878700304,0.0,0.0,75.68821212996957,0.4970457383434047,0.0,0.0,2.9542616565952917,0.0,True,0.17431178787003043,0.26826680202806774,0.6743117878700304,0.4970457383434047,2.9542616565952917,1000.0,2534.451171875,20.0,0.1,0.10133808106184,0.4493398070335388,1.0038635730743408,0.1195716634392738,0.3504621684551239,10.0
NN+Adam safe,0.75,Kr,controllable,percent_of_allowed_range,0.05,5.0,2534.451171875,2709.451171875,False,0.6708108867662335,-0.0035009011037969717,-3.5009011037969717,79.18911323376653,0.49511760049244274,-0.001928137850961964,-1.928137850961964,4.882399507557256,0.0,True,0.17081088676623346,0.2669835673487024,0.6743117878700304,0.4970457383434047,2.9542616565952917,1000.0,2709.451171875,20.0,0.1,0.10133808106184,0.4493398070335388,1.0038635730743408,0.1195716634392738,0.3504621684551239,10.0
