method,target,parameter,parameter_group,peak_y_range_mm,max_abs_delta_peak_y_mm,delta_peak_y_minus10_mm,delta_peak_y_minus5_mm,delta_peak_y_plus5_mm,delta_peak_y_plus10_mm,local_slope_peak_y_mm_per_percent,max_abs_xr_range_mm,max_abs_delta_max_abs_xr_mm,delta_max_abs_xr_minus10_mm,delta_max_abs_xr_minus5_mm,delta_max_abs_xr_plus5_mm,delta_max_abs_xr_plus10_mm,local_slope_max_abs_xr_mm_per_percent,local_slope_residual_margin_mm_per_percent,target_error_range_mm,max_target_error_mm,min_residual_margin_mm,residual_margin_minus10_mm,residual_margin_plus10_mm,worst_margin_perturbation_percent,worst_margin_tested_value,worst_margin_peak_y,worst_margin_max_abs_xr,worst_margin_target_error_mm,worst_margin_feasible_abs,max_constraint_violation_mm,feasibility_rate_percent,n_infeasible_points,n_tested_points,n_clipped_points,risk_label
NN+Adam safe,0.75,A,controllable,9.285356200187667,8.125243281998928,-8.125243281998928,-4.062621637786368,1.1601129181887382,1.1601129181887382,0.5222734555975106,4.202816631813933,3.677716529793207,-3.677716529793207,-1.8388582667822062,0.5251001020207258,0.5251001020207258,0.2363958368802932,-0.2363958368802932,9.285356200187664,83.81345541196849,2.429161554574566,6.631978186388499,2.429161554574566,5.0,0.12,0.6754719007882192,0.49757083844542543,74.52809921178083,True,0.0,100.0,0,5,2,safe
NN+Adam safe,0.75,f0,controllable,1.4863834961834632,1.4605490252914688,-1.4605490252914688,-0.7615915756646885,0.02583447089199442,0.02583447089199442,0.07874260465566829,0.12600801521339688,0.12384263592052358,-0.12384263592052358,-0.061186648645794595,0.002165379292873304,0.002165379292873304,0.00633520279386679,-0.00633520279386679,1.486383496183464,77.14876115526104,2.9520962773024184,3.0781042925158153,2.9520962773024184,5.0,0.45,0.6743376223409224,0.4970479037226976,75.66237765907758,True,0.0,100.0,0,5,2,safe
NN+Adam safe,0.75,f1,controllable,9.791604438672774,9.572857096819654,0.2187473418531205,0.2187473418531205,-4.7694132937669,-9.572857096819654,-0.49881606356200203,0.9738652394607472,0.9738652394607472,-0.003443764011679118,-0.003443764011679118,-0.5108961145501856,-0.9738652394607472,-0.050745235053850646,0.050745235053850646,9.791604438672763,85.26106922678922,2.9542616565952917,2.957705420606971,3.928126896056039,0.0,1.0038635730743408,0.6743117878700304,0.4970457383434047,75.68821212996957,True,0.0,100.0,0,5,2,safe
NN+Adam safe,0.75,x_r_start,controllable,5.462168461204064,5.000000005556782,-0.4621684556472827,-0.4621684556472827,2.5000000028013725,5.000000005556782,0.2962168458448655,5.462168536398416,5.000000074322997,-0.4621684620754185,-0.4621684620754185,2.5000000373620046,5.000000074322997,0.2962168499437423,-0.2962168499437423,5.462168461204058,76.15038058561684,-2.045738417727705,3.4164301186707102,-2.045738417727705,10.0,0.3554621684551239,0.6793117878755872,0.5020457384177277,70.68821212441279,False,2.045738417727705,80.0,1,5,2,critical
NN+Adam safe,0.75,Kr,controllable,15.179964019407688,8.593219920588147,8.593219920588147,3.9966424401383094,-3.5009011037969717,-6.586744098819541,-0.7497543543935281,8.489366194755267,4.887547664544911,4.887547664544911,2.244459104613794,-1.928137850961964,-3.6018185302103545,-0.41725969555757575,0.41725969555757586,15.179964019407691,82.27495622878911,-1.9332860079496195,-1.9332860079496195,6.556080186805646,-10.0,2184.451171875,0.6829050077906186,0.5019332860079496,67.09499220938142,False,1.9332860079496195,80.0,1,5,0,critical
NN+Adam safe,0.75,hr,controllable,2.954147436664112,2.8496442537884192,0.1045031828756926,0.1045031828756926,-1.4001073843953327,-2.8496442537884192,-0.15046105672710253,1.0121111887105294,0.9770545076973058,0.03505668101322357,0.03505668101322357,-0.47609455377317644,-0.9770545076973058,-0.05111512347864,0.05111512347864,2.9541474366641154,78.53785638375798,2.919204975582068,2.919204975582068,3.9313161642925976,-10.0,0.1,0.6744162910529061,0.49708079502441793,75.58370894709387,True,0.0,100.0,0,5,2,safe
NN+Adam safe,0.75,Kb,physical_model,14.96103526295478,7.615674198775402,-7.615674198775402,-3.765491013726141,3.6981620828913098,7.345361064179379,0.7463653096617451,6.412617027659606,3.2429694886425553,-3.169647539017051,-1.5942355341495018,1.612587281890454,3.2429694886425553,0.3206822816039956,-0.3206822816039956,14.96103526295478,83.30388632874497,-0.2887078320472636,6.123909195612343,-0.2887078320472636,10.0,1100.0,0.6816571489342098,0.5002887078320473,68.34285106579019,False,0.2887078320472636,80.0,1,5,0,critical
NN+Adam safe,0.75,Mb,physical_model,48.59847275262163,26.727879315020296,26.727879315020296,12.627250020375014,-11.641532063923265,-21.870593437601336,-2.426878208429828,6.304140776413725,3.475544563324995,3.475544563324995,1.6140094075305367,-1.4810011415830049,-2.82859621308873,-0.30950105491135416,0.30950105491135416,48.59847275262163,97.5588055675709,-0.5212829067297031,-0.5212829067297031,5.782857869684022,-10.0,18.0,0.7010396671850507,0.5005212829067297,48.96033281494927,False,0.5212829067297031,80.0,1,5,0,critical
NN+Adam safe,0.75,hb,physical_model,42.98444345470887,23.40626350886843,23.40626350886843,11.280163071132998,-10.496415418791871,-19.578179945840436,-2.177657848992487,2.7424001747538562,1.455906589802325,1.455906589802325,0.7057936806676435,-0.6636390647990487,-1.2864935849515313,-0.1369432745466692,0.1369432745466692,42.98444345470887,95.26639207581,1.4983550667929668,1.4983550667929668,4.2407552415468235,-10.0,0.09000000000000001,0.6977180513788989,0.49850164493320703,52.28194862110114,True,0.0,100.0,0,5,0,warning
NN+Adam safe,0.75,Mr,physical_model,44.04225975895493,22.33680342168598,-22.33680342168598,-11.399045872484415,11.150886297578765,21.70545633726895,2.254993217006318,5.834153658750896,2.9515685789350266,-2.9515685789350266,-1.4647947080182466,1.4220192366395379,2.882585079815869,0.28868139446577845,-0.2886813944657785,44.04225975895492,98.02501555165554,0.07167657677942252,5.905830235530319,0.07167657677942252,10.0,11.0,0.6960172442072994,0.4999283234232206,53.98275579270062,True,0.0,100.0,0,5,0,warning
