method,target,peak_y_true,target_error_mm,target_error_mm_std,target_error_mm_min,target_error_mm_max,max_abs_xr_true,residual_margin_mm,residual_margin_mm_min_seed,constraint_violation_abs_mm,feasible_abs,feasibility_rate_seed_percent,optimization_time_s,online_true_simulator_calls,offline_dataset_calls,total_simulator_calls_equivalent,surrogate_function_evaluations,peak_y_pred,max_abs_xr_pred,peak_y_std,max_abs_xr_std,Kr,hr,f0,f1,A,x_r_start
BO mean,0.55,0.5499447486396594,0.062419967616855705,0.055251360340735606,0.0071686072761201,0.1176713279575913,0.4930997170143355,6.900282985664502,3.5376501319515086,0.0,True,100.0,167.21333969885018,400,0,400,,,,,,3658.1577446957526,0.22372644796279528,0.34902954949752996,2.794085507980842,0.090505701265986,0.35201765852948796
BO mean,0.6,0.6001502271293144,0.3082334544364795,0.15022712931439527,0.1580063251220842,0.4584605837508748,0.4750347180340341,24.96528196596595,22.881152298931507,0.0,True,100.0,172.4369026022032,400,0,400,,,,,,3058.995568705936,0.18451274712636814,0.19675691758742636,1.3716641935848881,0.09725830918366085,0.36251897549053924
BO mean,0.65,0.6500740466072052,0.0740466072052248,0.004402364498390397,0.0696442427068344,0.0784489717036152,0.494091664850853,5.908335149147042,5.340375051678892,0.0,True,100.0,168.0145626491867,400,0,400,,,,,,3243.7003505434354,0.16088318091427706,0.2339015704373032,1.3709261625752571,0.1195575086230419,0.35503611808048485
BO mean,0.7,0.6682389539841176,31.761046015882364,3.132889397539307,28.62815661834306,34.89393541342167,0.49983244697327467,0.16755302672535888,0.15017652867010955,0.0,True,100.0,165.94793880009092,400,0,400,,,,,,2744.7582411893945,0.23509758813993425,0.42142958050506774,1.0181831642609724,0.11998034779423634,0.3567456671191399
BO mean,0.75,0.6712744440965083,78.72555590349172,1.4505159756213999,77.27503992787032,80.17607187911312,0.4973812895720447,2.618710427955306,1.0110722591696875,0.0,True,100.0,166.3980816496769,400,0,400,,,,,,2243.980014611666,0.18353031991379742,0.4499999999999999,1.0,0.11953194867719105,0.35
Random Search mean,0.55,0.5511095338275418,1.1095338275418085,1.0793926955171005,0.030141132024708,2.188926523058909,0.4762037791430743,23.79622085692565,15.751940361768412,0.0,True,100.0,90.56279224937316,400,0,400,,,,,,2294.140554923835,0.35579363274350173,0.31635574214350043,3.830131464262339,0.0944798719076171,0.3562650066231213
Random Search mean,0.6,0.60008356616573,0.1311849758567351,0.0835661657300202,0.0476188101267149,0.2147511415867553,0.48582591394241587,14.174086057584134,10.066619344771876,0.0,True,100.0,86.25754255068023,400,0,400,,,,,,3058.404637661141,0.1707675603929371,0.4016968158140912,1.6329577758664473,0.09366193796129925,0.36886854744405106
Random Search mean,0.65,0.6480643827179884,4.203742522044696,1.9356172820116369,2.2681252400330587,6.139359804056332,0.4980518808431405,1.9481191568594958,0.1279138667877877,0.0,True,100.0,85.73720175109338,400,0,400,,,,,,3352.0404309242253,0.22487512709590596,0.2749174480872648,1.315705939265856,0.1150644068113103,0.3649438954382538
Random Search mean,0.7,0.6480905397592118,51.909460240788135,4.229899563268134,47.67956067752,56.13935980405627,0.49511356525170325,4.886434748296753,3.768324446931204,0.0,True,100.0,82.53446030127816,400,0,400,,,,,,3659.2997395515713,0.2034329218923132,0.4289567407753154,1.4356314163941377,0.11736147253091335,0.3614827041619554
Random Search mean,0.75,0.6480905397592118,101.90946024078818,4.229899563268141,97.67956067752004,106.13935980405633,0.49511356525170325,4.886434748296753,3.768324446931204,0.0,True,100.0,81.76811629964504,400,0,400,,,,,,3659.2997395515713,0.2034329218923132,0.4289567407753154,1.4356314163941377,0.11736147253091335,0.3614827041619554
