target,attempt,generation,best_objective_so_far,scipy_convergence
0.55,2,101,0.07816632539466692,0.00016268240023639674
0.55,2,102,0.07816632539466692,0.00019004023463848943
0.55,2,103,0.0781604113006962,0.00018880924095088087
0.55,2,104,0.0781604113006962,0.000187282694992388
0.55,2,105,0.0781604113006962,0.00019040917471462647
0.55,2,106,0.0781604113006962,0.00019388509680842006
0.55,2,107,0.0781604113006962,0.00020050651662552243
0.55,2,108,0.0781604113006962,0.0002044237151071885
0.55,2,109,0.07815790551470853,0.00021633513874289985
0.55,2,110,0.07815790551470853,0.00021652054675504412
0.55,2,111,0.07815790551470853,0.00021974098813360798
0.55,2,112,0.07815790551470853,0.0002230038093962374
0.55,2,113,0.07815790551470853,0.0002220202825421296
0.55,2,114,0.07815790551470853,0.00022163933525574746
0.55,2,115,0.07815779873323382,0.000286671640385669
0.55,2,116,0.07815779873323382,0.0002982470730410395
0.55,2,117,0.07815779873323382,0.0003002964613076624
0.55,2,118,0.07815779873323382,0.00029883368137801855
0.55,2,119,0.07815766690225269,0.0003016648108442356
0.55,2,120,0.07815766690225269,0.000307894101795785
0.55,2,121,0.07815479844999385,
0.55,3,1,0.0950080226827284,2.2274743500675378e-08
0.55,3,2,0.08300265293484546,1.3435683099813453e-08
0.55,3,3,0.08300265293484546,1.3258025177820988e-08
0.55,3,4,0.08120725209323966,2.8164324500692912e-08
0.55,3,5,0.078751859878937,2.1571774255418435e-08
0.55,3,6,0.078751859878937,4.526059975123835e-08
0.55,3,7,0.078751859878937,4.218746154518255e-08
0.55,3,8,0.078751859878937,3.423698881451415e-08
0.55,3,9,0.078751859878937,3.825494778257422e-08
0.55,3,10,0.078751859878937,5.1028665043111895e-08
0.55,3,11,0.078751859878937,1.099906887456819e-07
0.55,3,12,0.078751859878937,1.3081514410886355e-07
0.55,3,13,0.078751859878937,2.0509025069251272e-07
0.55,3,14,0.078751859878937,2.1236557722937272e-07
0.55,3,15,0.078751859878937,3.2001756109780136e-07
0.55,3,16,0.07841881716869147,6.507331987865956e-07
0.55,3,17,0.07841881716869147,1.0689385755194388e-06
0.55,3,18,0.07841881716869147,1.1022640151259265e-06
0.55,3,19,0.07841881716869147,1.4372757622518095e-06
0.55,3,20,0.07841881716869147,1.6435298417884216e-06
0.55,3,21,0.07841881716869147,1.8415387721364057e-06
0.55,3,22,0.07841881716869147,2.127419101278878e-06
0.55,3,23,0.07839746268458334,2.1670820337812417e-06
0.55,3,24,0.07839746268458334,2.159340354080523e-06
0.55,3,25,0.07839746268458334,2.5674334271667274e-06
0.55,3,26,0.07839746268458334,2.818464968393423e-06
0.55,3,27,0.07837751691648838,2.8717854469830856e-06
0.55,3,28,0.07837751691648838,2.948843863806202e-06
0.55,3,29,0.07835435088762707,5.313909485823511e-06
0.55,3,30,0.07835435088762707,5.94534354178303e-06
0.55,3,31,0.07835435088762707,6.042678183808569e-06
0.55,3,32,0.07835105931970737,5.9983609168352305e-06
0.55,3,33,0.07835105931970737,6.095513253209914e-06
0.55,3,34,0.07834232643607361,1.2928208978849046e-05
0.55,3,35,0.07829019952269763,1.346822491758214e-05
0.55,3,36,0.07815310606463784,1.4758556784316992e-05
0.55,3,37,0.07815310606463784,1.4742886132967526e-05
0.55,3,38,0.07815310606463784,1.6452394234176914e-05
0.55,3,39,0.07815310606463784,1.9107096492817258e-05
0.55,3,40,0.07815310606463784,2.144104876040233e-05
0.55,3,41,0.07815310606463784,2.5392958910455126e-05
0.55,3,42,0.07815310606463784,2.621185723485145e-05
0.55,3,43,0.07815310606463784,2.6282899746821553e-05
0.55,3,44,0.07815310606463784,2.709330815011965e-05
0.55,3,45,0.07815310606463784,2.6923345563564586e-05
0.55,3,46,0.07815087780145133,2.6376636400210138e-05
0.55,3,47,0.07815087780145133,3.043496276134014e-05
0.55,3,48,0.07815087780145133,3.147639679592661e-05
0.55,3,49,0.07815087780145133,3.4965028185415646e-05
0.55,3,50,0.07815087780145133,3.487383717355983e-05
0.55,3,51,0.07815087780145133,3.528024066434736e-05
0.55,3,52,0.07813422932384737,4.0059421722549464e-05
0.55,3,53,0.07813422932384737,4.1953528932349434e-05
0.55,3,54,0.07813422932384737,5.479348384231787e-05
0.55,3,55,0.07811476854622189,5.352344567266236e-05
0.55,3,56,0.07811476854622189,5.335717724391573e-05
0.55,3,57,0.07810693895885239,5.301346485820621e-05
0.55,3,58,0.07810693895885239,5.2735207449409426e-05
0.55,3,59,0.07810693895885239,5.2630601522068066e-05
0.55,3,60,0.07810693895885239,5.364306788474533e-05
0.55,3,61,0.07810693895885239,5.535009842159466e-05
0.55,3,62,0.07810693895885239,5.645908945920419e-05
0.55,3,63,0.07810693895885239,5.566681549643758e-05
0.55,3,64,0.07810693895885239,5.531864022289932e-05
0.55,3,65,0.07810693895885239,5.431899582512957e-05
0.55,3,66,0.07810693895885239,6.105943098622002e-05
0.55,3,67,0.07810693895885239,6.964750270680574e-05
0.55,3,68,0.07810693895885239,7.017979537934333e-05
0.55,3,69,0.07810693895885239,7.278748352947866e-05
0.55,3,70,0.07810693895885239,7.941743751559443e-05
0.55,3,71,0.07810693895885239,9.22254539879638e-05
0.55,3,72,0.07810693895885239,9.431339283154433e-05
0.55,3,73,0.07810693895885239,0.00010621711537704286
0.55,3,74,0.07810693895885239,0.0001080190713846485
0.55,3,75,0.07810693895885239,0.00010862574733849584
0.55,3,76,0.07810693895885239,0.00013118530615337568
0.55,3,77,0.07809528530358542,0.000131345298814954
0.55,3,78,0.07809528530358542,0.0001327927743534829
0.55,3,79,0.07809528530358542,0.00014273305741909696
0.55,3,80,0.07809528530358542,0.00014400208287921562
0.55,3,81,0.07809528530358542,0.00014356903126835894
0.55,3,82,0.07809528530358542,0.00016688550769707213
0.55,3,83,0.07809528530358542,0.00016794861308779176
0.55,3,84,0.07809528530358542,0.0001709246511043947
0.55,3,85,0.0780926747578779,0.00017055423385329755
0.55,3,86,0.0780926747578779,0.00016908159774510622
0.55,3,87,0.0780926747578779,0.00016872069324647062
0.55,3,88,0.0780926747578779,0.00017858357281810364
0.55,3,89,0.0780926747578779,0.0001794322247095815
0.55,3,90,0.0780926747578779,0.00017995280240880153
0.55,3,91,0.0780926747578779,0.00017968281257421057
0.55,3,92,0.0780926747578779,0.0002603133386320859
0.55,3,93,0.0780926747578779,0.0002696296186872447
0.55,3,94,0.0780926747578779,0.00033153866232053716
0.55,3,95,0.0780926747578779,0.00033452421479582766
0.55,3,96,0.0780926747578779,0.0004166446302388247
0.55,3,97,0.0780926747578779,0.0004554621772224929
0.55,3,98,0.0780915895933973,0.00044690543767361495
0.55,3,99,0.0780915895933973,0.00047229918910118125
0.55,3,100,0.0780915895933973,0.00047824528755477266
0.55,3,101,0.07808923111262775,0.0004916744426163229
0.55,3,102,0.07808923111262775,0.0005223980485620863
0.55,3,103,0.07808923111262775,0.0005409193371893296
0.55,3,104,0.07808923111262775,0.0006899047741885524
0.55,3,105,0.07808923111262775,0.0007972068627922886
0.55,3,106,0.07808923111262775,0.0008025803876774628
0.55,3,107,0.07808923111262775,0.0008299181605000644
0.55,3,108,0.07808923111262775,0.0009073473993649221
0.55,3,109,0.07808923111262775,0.0010312805484857072
0.55,3,110,0.07808923111262775,0.0012176169182517235
0.55,3,111,0.07808887698398186,0.001213030504591955
0.55,3,112,0.07808887698398186,0.0012524114139146818
0.55,3,113,0.07808887698398186,0.001575549297404519
0.55,3,114,0.07808887698398186,0.001648647803932399
