Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,peak_y_pred,peak_y_std,max_abs_xr_pred,max_abs_xr_std
1000.0,2510.770771532989,20.0,0.1,0.22467757441302977,0.37103370702753136,2.9562943505978634,0.09619268040188435,0.3872220945296958,0.6049807659613833,0.008104674692707852,0.5525510182895582,0.0034043113237140826
1000.0,4200.379632673605,20.0,0.1,0.3695845129503582,0.12743051672276517,1.6364174464773176,0.11686155081397862,0.3939716029935856,0.6588873326289229,0.008161809095296695,0.5206496950022927,0.0034191345162080003
1000.0,2219.504301588355,20.0,0.1,0.2929814804101505,0.19193914045668842,2.2488543146983924,0.09062834532487218,0.3640880118368376,0.5687741445371256,0.008170372107473057,0.4817920747583178,0.0034664890002850386
1000.0,2447.3831550606856,20.0,0.1,0.42169567183322587,0.3057895758214889,1.5325494802948474,0.10282693627624019,0.3746468081094977,0.6109527085365701,0.00822512730837904,0.4907126784538049,0.003342193281987927
1000.0,3730.760410991197,20.0,0.1,0.2863567474469255,0.24734744757052016,1.9323790353259132,0.10724998526405663,0.3987916006835365,0.6398605092131495,0.00802851668444658,0.5228903914764932,0.003334388326919195
1000.0,3435.4543753517573,20.0,0.1,0.4104542513514555,0.10534535231427718,1.6092922084689898,0.11594303937969143,0.37847364484973844,0.6409981417725246,0.008209645197645863,0.5053140459607773,0.0034451423485459525
1000.0,3206.453275229635,20.0,0.1,0.22908150103846503,0.20334299951132523,3.036489389660648,0.1009720516674,0.37176173537033075,0.5917844146348004,0.008037019644784142,0.5419088250920974,0.0033436581847550795
1000.0,4218.969007746553,20.0,0.1,0.4311640403822783,0.4477798986951259,2.4547457110213986,0.0941450716500152,0.35124618012175524,0.5521738264642718,0.00825493023404727,0.45331471033419035,0.0035062312712978204
1000.0,3231.298469453309,20.0,0.1,0.12672424701986484,0.14119957799382057,1.70451723846955,0.11975979293824493,0.3581114278760283,0.6496285675093574,0.008326153124261876,0.5007418619324161,0.003585842251218244
1000.0,1885.462416490956,20.0,0.1,0.4205733210669331,0.31772440933349355,3.219702107052517,0.10064200366411093,0.39669162544945974,0.6089994501059076,0.008186296138585318,0.509201254613239,0.0034838470271056957
1000.0,4916.352223749739,20.0,0.1,0.2954594956222547,0.4453940967847605,2.5173830584562706,0.10319220851803276,0.3892717000729951,0.6107116886682353,0.008156361311180972,0.5147869778656793,0.0036424615891212926
1000.0,3754.866842656186,20.0,0.1,0.1701856248391325,0.28022875009848824,1.049378378459454,0.11626979554689536,0.3771222943098186,0.6713263427576103,0.008436000455221042,0.5090074635602634,0.0036516629914348877
1000.0,1661.654599902009,20.0,0.1,0.42821562412898406,0.44980276371991457,3.2119162758617814,0.10293970361426555,0.37957096410174,0.5966501651014972,0.008260382930512858,0.4957164347847765,0.003637647539503354
1000.0,1535.8116575483455,20.0,0.1,0.1379572630544499,0.2158498033596708,2.2338060654658727,0.11267846497070937,0.3585364888294127,0.6386668626574588,0.00825899849152626,0.599917885751455,0.0036070761976075734
1000.0,1906.3665763356885,20.0,0.1,0.34411237665802363,0.4108112419954375,3.6390017568927213,0.11225748603094225,0.39917836500423354,0.6401815995371039,0.00822692044741737,0.5377025616692935,0.0034108495918135267
1000.0,3327.322373067722,20.0,0.1,0.37106407054141777,0.24601210203583168,2.0597669818497644,0.11732466276497899,0.37153535018724015,0.6313086301797324,0.008058419864259493,0.5046244336272917,0.003355559998956923
1000.0,4112.648629355576,20.0,0.1,0.27395791549514614,0.13927452342391128,1.380628233719681,0.10530367758981,0.3853838948950185,0.6327368634551244,0.008098348351114002,0.5017706907807958,0.0033509718429283377
1000.0,4098.694740856341,20.0,0.1,0.2174939792640081,0.10322373029879992,2.6000692786633426,0.09568700975616615,0.36600599837587694,0.5675329418107026,0.00811189404757288,0.5018801162680909,0.003372739963731551
1000.0,3482.5719801347796,20.0,0.1,0.2371415403087792,0.2606505727198457,1.1513768458313773,0.09549046244496284,0.3920947791875963,0.6306872909452651,0.008106077217176502,0.5006286015425259,0.0033825771857454293
1000.0,3291.5849957785313,20.0,0.1,0.4097911971088022,0.4000553503103089,1.5795099270959785,0.10198790517675091,0.3762889150039785,0.6112433118530621,0.008141401982448634,0.4885617695160635,0.003377848149936883
1000.0,1841.30302372374,20.0,0.1,0.12987465660426958,0.39452029544128875,3.4801408604764457,0.1014986808921511,0.3853292341106439,0.6236509478820131,0.008324410550778281,0.6751563787613328,0.0035295543264104497
1000.0,3312.765884774829,20.0,0.1,0.3616787319158036,0.21031478619654864,2.422108666778471,0.11678868992139377,0.39083220352645365,0.6453849081386985,0.00805906947859351,0.5274878275316062,0.003385147517140117
1000.0,2584.8731430992057,20.0,0.1,0.40861987829690893,0.2395516277546772,3.0471398345331924,0.111345316524399,0.3700842484462505,0.6043187852070788,0.008074703236777003,0.49423317111500203,0.0033314715568039774
1000.0,4394.828324546757,20.0,0.1,0.26287310097650285,0.43624104570970823,3.8100968042441115,0.11700796251458585,0.39541767305271613,0.632571426697659,0.008269920546501436,0.579362030050793,0.0034926878824613965
1000.0,2014.6629107960964,20.0,0.1,0.3269169353867769,0.35939008902895253,2.586277501737369,0.10587662956988297,0.3600715454268475,0.5991969963244139,0.00809708764350525,0.49459734342149075,0.003346516448012054
1000.0,2062.752765848395,20.0,0.1,0.3740970152470028,0.15236195180765263,3.1845909139065647,0.09231205463746264,0.3706126055406758,0.5678593856057268,0.00815448878195842,0.4789306317481757,0.0034046856296772007
1000.0,1584.0396602274461,20.0,0.1,0.33113043502288847,0.2025205565782981,2.4031002528562437,0.09859346159971423,0.3757887216321325,0.5994395243781372,0.008162464466992614,0.5002954972270705,0.0034776250782669357
1000.0,3801.7636600279207,20.0,0.1,0.15841967557491643,0.3719671572464873,3.3475460988722587,0.11826496894978047,0.3690347620003293,0.6236750755210606,0.00812633422831107,0.6281460715958697,0.0034624501491552244
1000.0,4555.959417145565,20.0,0.1,0.13278992254101038,0.4478672083018619,1.6366224245619059,0.1012154743323191,0.35467517273872956,0.5885874971519508,0.00832609661163795,0.4710253752853495,0.003531429545963771
1000.0,4422.9960697264505,20.0,0.1,0.27007654244921836,0.43684050529006446,1.4338471146200489,0.1167546529269966,0.3679773059466171,0.64501536030618,0.008209051730936511,0.49678055805268445,0.0034737669560672025
1000.0,2327.017392923618,20.0,0.1,0.3299931043051553,0.11056596424082137,2.5764091744823494,0.10420815564198412,0.3524252566291059,0.5822614484125761,0.008097008306635631,0.4840229402525262,0.003353033474806758
1000.0,3019.6378162727597,20.0,0.1,0.20672171393051814,0.18702686970762844,3.7908812467392337,0.10794890534971505,0.3577078751471378,0.585328178269689,0.008114114349007629,0.5628030192321379,0.0033883681427132823
1000.0,4149.960688673264,20.0,0.1,0.22934834156530262,0.3095977323357047,2.139804802536513,0.1091563755930289,0.3840968518786803,0.6241395856902792,0.008058968651635827,0.5171756060776932,0.003325432613214106
1000.0,2492.369932120372,20.0,0.1,0.39087019066463957,0.31634576238984025,2.815805783522363,0.09654017790138804,0.362698127290209,0.570310715851302,0.008085852708002984,0.47298955634480205,0.0033372555875186365
1000.0,2883.81968332687,20.0,0.1,0.1118554443635992,0.11915590015525292,2.988046205857192,0.0994943568080561,0.3860122238015249,0.6080760927070717,0.008261076946318238,0.6555427139077867,0.0035428810387376822
1000.0,1761.8925489397766,20.0,0.1,0.3590459374870254,0.1749625905421886,3.6086546667350485,0.11719596727372496,0.38446566529311643,0.6331272851499667,0.00824575751079874,0.5264930952220449,0.0034558086375391524
1000.0,2880.0033495156013,20.0,0.1,0.10897676399478713,0.36638961049464114,2.688452712905053,0.0924687374822858,0.3785368593451334,0.5883037087494309,0.008342741722556737,0.5898230811583671,0.003585304881762114
1000.0,1521.544842673509,20.0,0.1,0.2579818127643696,0.3146398385845672,3.407975875739772,0.09871817723304728,0.36160227580599924,0.5859417283970133,0.008244842526975394,0.5099912449896711,0.003496126608825455
1000.0,2658.827882497105,20.0,0.1,0.1207181263486381,0.426024813372354,3.6419052427006844,0.1080640851054393,0.35372937121109815,0.59772308288975,0.00827708987009987,0.6864542058305051,0.003450759702951462
1000.0,1792.6967801007213,20.0,0.1,0.4262288430023833,0.14374984553004558,1.4370062255643061,0.11356410604834771,0.36507657010815237,0.6268946572602094,0.008526454644275075,0.49660702404093765,0.0037016520258953906
1000.0,2940.439639798774,20.0,0.1,0.24350820080802,0.345023119589122,2.4169967758149062,0.11436615045378737,0.3747969572093838,0.6342980458924956,0.008051204178610744,0.537465783743148,0.0034067344647122776
1000.0,2516.6086570005664,20.0,0.1,0.16810191066552796,0.36425463817131865,1.6585239745424434,0.10826723432629781,0.38007020895644344,0.6524716835880691,0.008050900134874153,0.5138384492306314,0.0033695595772619685
1000.0,4871.366564468853,20.0,0.1,0.13136725565328422,0.17263214795540613,2.984659171659444,0.0999269845499303,0.3564291435933594,0.5588525948942829,0.008240230174037907,0.5215326275608647,0.00356392351791995
1000.0,4633.790110330505,20.0,0.1,0.35601673789733146,0.17789325328959016,1.285630912663859,0.11527236859810343,0.3784980975261928,0.6486210130735023,0.00822190434130395,0.5029582067989192,0.0034509141760297366
1000.0,4753.525187806199,20.0,0.1,0.2810135379926112,0.18080742672166175,1.4006863184259677,0.10253738748377203,0.38420087443928796,0.6210633387974983,0.008161175366274252,0.4961242232867537,0.0034327683979403878
1000.0,1515.0506676266984,20.0,0.1,0.23837313201615984,0.24133995790222149,3.013033931207951,0.0958488577566219,0.39380357244133596,0.6167047423735614,0.008230440733725778,0.548582196662118,0.0035034393791591833
1000.0,2637.808429918593,20.0,0.1,0.38938279329312087,0.38966791812644375,3.654640291300659,0.0977648723302741,0.3919932887132553,0.5951741922828515,0.008138690280437122,0.502514259919637,0.0033635437629684775
1000.0,2306.7757872189522,20.0,0.1,0.2398050507001215,0.16218909238003695,2.452392731783077,0.09225583278910827,0.3978421083075252,0.6069039372151152,0.008162358572762811,0.5372973378887964,0.0034707239078580797
1000.0,1545.4881407471498,20.0,0.1,0.2738086505177084,0.3933333533873705,1.3975447679472426,0.10791305484964141,0.3765541264966643,0.6553158518141432,0.008154173299061726,0.5168485328548587,0.003554448464074203
1000.0,4151.377975871936,20.0,0.1,0.3445081596076095,0.38875471373195214,3.3798509960183503,0.10748579836183937,0.36749820938800243,0.5897995499834844,0.008094498879886034,0.5011230244447826,0.0033644275103367626
1000.0,1875.9992359548564,20.0,0.1,0.15733622754151147,0.4049226510709437,1.799501877797147,0.11682092009519357,0.3653043171501425,0.6664195294881277,0.008209358588780417,0.5353848927964867,0.0034215028102336396
1000.0,1700.3997068565047,20.0,0.1,0.20149911907927184,0.234627701359515,1.3110403225981015,0.10289283879042196,0.3898971453929433,0.6646227303387786,0.008125248125060821,0.5284823214604847,0.0034190360878324218
1000.0,2948.36960215022,20.0,0.1,0.2728069515341149,0.4495705325613244,1.6459585814456845,0.10631743973143833,0.39938781428784953,0.655797323055758,0.008078608881725903,0.5225903077888507,0.0033796147714689902
1000.0,3235.035517238787,20.0,0.1,0.3069967573305772,0.29134724557374037,1.3458076037134683,0.11148406572946731,0.3956036817494455,0.6672214930405485,0.008077911093069469,0.521461286311924,0.003343017576213259
1000.0,4743.017340026277,20.0,0.1,0.3053340626815016,0.22337895045995917,3.026530910711166,0.11833851313062664,0.3989067929726695,0.6459894395065803,0.008216994242588243,0.5535865359659164,0.003668329349723815
1000.0,2490.3429417230923,20.0,0.1,0.42749029454428933,0.3556011819810503,3.6155113527183222,0.09502443024501862,0.39881233513205216,0.594120604966028,0.008206703347863558,0.5029505855004337,0.003396703152776642
