Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,peak_y,max_xr,max_xb,extra_reach,constraint_violation,feasible
210.40523634213383,821.2513590187342,17.27556609805533,0.17262394053131505,0.41200218596703375,0.20320378727264143,2.9724076803691566,0.06735051997284713,0.43520384640331655,0.5337060963941943,0.5071318519486162,0.08291023528880216,0.03370609639419431,0.007131851948616208,False
701.6063312985374,4877.970837304511,54.35938573125546,0.08544872957026062,0.16021050696032957,0.09162161589653456,7.51241028726308,0.08618685833665937,0.3672634845272561,0.5747442586049221,0.6138783826431276,0.056651326468165446,0.07474425860492206,0.11387838264312755,False
557.9755652140179,2833.848059950995,39.31008896136642,0.06674483177154795,0.4817484112226583,0.17917950541124067,5.2370059324029885,0.08614391083909122,0.4221102437342457,0.5297982728334357,0.5160445752204454,0.07823714855032385,0.029798272833435724,0.016044575220445445,False
659.4926801884376,3831.53325904756,57.80917092047467,0.22309916168928162,0.6275022109317854,0.19261601451956506,1.5893914404389105,0.06556841707566294,0.42153873231881356,0.49601681075465537,0.48743014218270314,0.02525149938353472,-0.003983189245344632,0.0,True
1369.488090505663,528.3071981605427,54.57240522221675,0.14291429778595532,0.3467794099317496,0.46915552173940817,3.80549821055411,0.055321745838069286,0.44476060754636537,0.5296291898617458,0.5148862912921786,0.03733732167059226,0.029629189861745786,0.014886291292178555,False
1298.857906471842,606.9085124043985,74.48026981461908,0.051036478072873454,0.24043979742110014,0.29627804296230176,3.378105368903741,0.11715275351685002,0.3750111452458049,0.5785172627913328,0.6022377728747101,0.10313996926776235,0.07851726279133275,0.10223777287471014,False
1269.7935969658167,672.57020864497,50.65257848819258,0.20818953945504004,0.3890608956410704,0.14356745853263847,1.9882953312557297,0.03572461811818739,0.3542435404763198,0.4035300735686356,0.39628657948836943,0.01813697109487782,-0.09646992643136437,0.0,True
383.5017948705395,3644.7038004479314,18.928732937450317,0.1903000391376064,0.6821056291978583,0.19098942045179435,3.628415427969958,0.05630214127491448,0.37877560283368367,0.45727429913936013,0.43521245997776487,0.06210972236817922,-0.04272570086063987,0.0,True
582.9975371612227,3621.0455321114146,60.21988355749697,0.12783729946235994,0.6854581197911431,0.49315678416944153,2.7343553950004855,0.08127355513439088,0.3869240240323994,0.4631189657866621,0.467851263354479,0.03448045950772016,-0.03688103421333788,0.0,True
353.144892510178,4678.1589597787015,40.550568839291,0.20293760090246765,0.5376378937805245,0.4222246387512418,4.100718680406276,0.09393375914899686,0.39928825648181276,0.48773015199955194,0.4964975728623563,0.045731276330621934,-0.012269848000448058,0.0,True
524.3297581960874,2890.0404465170013,35.59369254701322,0.18250280971623217,0.7797294520471916,0.2811550831433037,4.365219046190191,0.030053205568276762,0.3828725168702485,0.4191166150742863,0.4127581438278261,0.01873314437640453,-0.08088338492571367,0.0,True
553.0626668780034,2097.094615303672,79.84204480238594,0.2373516394395952,0.1883803722785336,0.4962831117574994,3.2623510338835984,0.036182756184251354,0.4219023707182138,0.5015785314317865,0.5118125900437328,0.010267650471996254,0.001578531431786545,0.011812590043732807,False
991.6463161336327,1467.1761856673356,26.49447029180215,0.16537565199010712,0.3137518239889147,0.31410962732491543,4.869328652665404,0.07048157288204566,0.4289012416396012,0.5380151710644313,0.5224298663812127,0.07471366950306914,0.03801517106443131,0.022429866381212693,False
1486.227371064794,4172.934036607769,27.899793001770618,0.20677149965947655,0.6047394853482722,0.4848988199447652,4.633925558114449,0.05636441941483718,0.3521750804840163,0.4277962521956049,0.4097931419843828,0.043436119119346576,-0.07220374780439509,0.0,True
162.14852157933615,4035.753898729646,61.19813089983648,0.0789497131067278,0.4940891118302798,0.2825944770414762,5.512426117819338,0.1173666139670486,0.4323252432362561,0.5455304134974929,0.562136181233265,0.030740842658484077,0.04553041349749287,0.06213618123326503,False
136.6544579845566,1223.3181766509633,52.86579265611134,0.05811100287200133,0.6017903933940877,0.4826708980646728,3.274336741184347,0.10004659179574578,0.4116995119679947,0.5011015022580261,0.5124045324565218,0.02691988657674526,0.001101502258026077,0.012404532456521844,False
576.3180069825198,3179.8551286601987,42.60041034232568,0.1555792932811626,0.24977753842337866,0.38805337158110886,3.9586009297114253,0.10552612983587219,0.4165716257808933,0.5718685538361762,0.6097193021886207,0.07151556647109966,0.07186855383617619,0.1097193021886207,False
441.3424688274871,4369.126189086676,56.344816124175104,0.22729516608392836,0.31164541072508367,0.16986036979270794,7.118065171225698,0.047347420248092624,0.36379093920533595,0.4259108862700751,0.43711791066871136,0.017820090946513496,-0.07408911372992488,0.0,True
